"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (AUD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (AUD)","Link clicks",shop_clicks,"CPC (cost per link click) (AUD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (AUD)","Landing page views","Cost per landing page view (AUD)"
2025-12-11,2026-01-09,"Ongoing Send Message promotion Coco's Connected",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"Cocos GYm 2025 Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"Cocos GYM 2025 Campaign - Pain",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"cocos online Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"New Engagement Campaign - Meta  Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"Tailored leads campaign 18/09/2025 Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"Vegan Women 25-40",inactive,-,,,0,0,,75,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"Vegan Perimenopause Reset – Copy",inactive,-,,,0,0,,75,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2025-12-11,2026-01-09,"Vegan Perimenopause Reset – purchases",inactive,"7-day click, 1-day view or 1-day engaged view",11,actions:offsite_conversion.fb_pixel_purchase,6170,1.295948,50.86090909,75,Daily,559.47,Ongoing,7996,69.968734,260,,2.151808,3.251626,644,8.054027,0.868742,264,2.119205
2025-12-11,2026-01-09,"Vegan Perimenopause Reset – 2206",active,"7-day click, 1-day view or 1-day engaged view",,,2588,1.73068,,75,Daily,405.3,Ongoing,4479,90.488948,128,,3.166406,2.857781,268,5.983478,1.512313,85,4.768235
